order_id,item_id,product_id,quantity,list_price,discount,extract_time,source,EGP,list_price_egp
1,1,20,1,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
1,2,8,2,1799.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
1,3,10,2,1549.0,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,74137.486735
1,4,16,2,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
1,5,4,1,2899.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,138797.91488484998
2,1,20,1,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
2,2,16,2,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
3,1,3,1,999.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,47861.03638485
3,2,20,1,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
4,1,2,2,749.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,35895.657634849995
5,1,10,2,1549.0,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,74137.486735
2,2,16,2,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
3,1,3,1,999.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,47861.03638485
5,2,17,1,429.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,20532.589935
5,3,26,1,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
6,1,18,1,449.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,21489.820235
6,2,12,2,549.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,26323.35463485
6,3,20,1,599.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
6,4,3,2,999.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,47861.03638485
6,5,9,2,2999.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,143584.06638484998
7,1,15,1,529.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,25366.12433485
7,2,3,1,999.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,47861.03638485
7,3,17,2,429.0,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,20532.589935
6,5,9,2,2999.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,143584.06638484998
7,1,15,1,529.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,25366.12433485
7,2,3,1,999.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,47861.03638485
7,3,17,2,429.0,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,20532.589935
8,1,22,1,269.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
8,2,20,2,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
9,1,7,2,3999.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,191445.58138484997
10,1,14,1,269.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
11,1,8,1,1799.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
11,2,22,2,269.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
11,3,16,2,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
12,1,4,2,2899.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,138797.91488484998
12,2,11,1,1680.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,80454.72809984999
13,1,13,1,269.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
13,2,17,2,429.0,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,20532.589935
13,3,20,2,599.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
13,4,16,2,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
14,1,6,1,469.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,22494.433434849998
15,1,12,2,549.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,26323.35463485
15,2,8,1,1799.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
15,3,18,2,449.0,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,21489.820235
15,4,23,2,299.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,14357.975884849999
16,1,8,1,1799.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
16,2,21,1,269.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
16,3,13,2,269.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
16,4,14,1,269.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
17,1,8,1,1799.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
17,2,23,1,299.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,14357.975884849999
17,3,5,1,1320.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,63224.58269985
17,4,20,2,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
18,1,2,2,749.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,35895.657634849995
18,2,22,1,269.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
18,3,7,1,3999.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,191445.58138484997
18,4,25,2,499.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,23930.27888485
18,5,9,2,2999.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,143584.06638484998
19,1,10,1,1549.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,74137.486735
19,2,9,2,2999.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,143584.06638484998
20,1,9,1,2999.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,143584.06638484998
20,2,10,2,1549.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,74137.486735
21,1,14,1,269.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
21,2,17,1,429.0,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,20532.589935
21,3,10,1,1549.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,74137.486735
22,1,15,2,529.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,25366.12433485
22,2,22,1,269.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
23,1,4,2,2899.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,138797.91488484998
23,2,23,2,299.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,14357.975884849999
23,3,13,1,269.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
24,1,3,2,999.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,47861.03638485
24,2,18,2,449.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,21489.820235
25,1,23,2,299.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,14357.975884849999
25,2,10,2,1549.0,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,74137.486735
25,3,22,1,269.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
25,4,14,1,269.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
25,5,21,1,269.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
26,1,7,1,3999.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,191445.58138484997
26,2,2,1,749.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,35895.657634849995
26,3,12,1,549.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,26323.35463485
26,4,21,2,269.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
27,1,5,1,1320.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,63224.58269985
27,2,19,1,449.0,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,21489.820235
27,3,26,2,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
27,4,8,1,1799.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
28,1,5,1,1320.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,63224.58269985
28,2,7,2,3999.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,191445.58138484997
28,3,14,2,269.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
28,4,6,1,469.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,22494.433434849998
29,1,24,2,549.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,26323.35463485
29,2,6,1,469.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,22494.433434849998
29,3,21,2,269.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
29,4,8,1,1799.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,86150.24838485
29,5,14,2,269.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,12922.13043485
30,1,26,1,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485
30,2,17,1,429.0,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,20532.589935
